Ticker,Company Name,qtr,year,date,link,publish_date
CHWY,Chewy,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/31/chewy-chwy-q1-2023-earnings-call-transcript/,2023-05-31
CRM,Salesforce,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/31/salesforce-crm-q1-2024-earnings-call-transcript/,2023-05-31
CRWD,CrowdStrike,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/31/crowdstrike-crwd-q1-2024-earnings-call-transcript/,2023-05-31
TRMR,Tremor International,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/30/tremor-international-trmr-q1-2023-earnings-call-tr/,2023-05-30
AMBA,Ambarella,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/30/ambarella-amba-q1-2024-earnings-call-transcript/,2023-05-30
RH,RH,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/26/rh-rh-q1-2023-earnings-call-transcript/,2023-05-26
COST,Costco Wholesale,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/26/costco-wholesale-cost-q3-2023-earnings-call-transc/,2023-05-26
DOMO,Domo,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/26/domo-domo-q1-2024-earnings-call-transcript/,2023-05-26
BBY,Best Buy,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/best-buy-bby-q1-2024-earnings-call-transcript/,2023-05-25
BZUN,Baozun,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/baozun-bzun-q1-2023-earnings-call-transcript/,2023-05-25
MDT,Medtronic,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/medtronic-mdt-q4-2023-earnings-call-transcript/,2023-05-25
DLTR,Dollar Tree,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/dollar-tree-dltr-q1-2023-earnings-call-transcript/,2023-05-25
WDAY,Workday,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/workday-wday-q1-2024-earnings-call-transcript/,2023-05-25
MRVL,Marvell Technology,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/marvell-technology-mrvl-q1-2024-earnings-call-tran/,2023-05-25
ULTA,Ulta Beauty,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/ulta-beauty-ulta-q1-2023-earnings-call-transcript/,2023-05-25
ADSK,Autodesk,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/autodesk-adsk-q1-2024-earnings-call-transcript/,2023-05-25
GPS,Gap,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/25/gap-gps-q1-2023-earnings-call-transcript/,2023-05-25
LX,LexinFintech,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/lexinfintech-lx-q1-2023-earnings-call-transcript/,2023-05-24
PLCE,Children's Place,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/childrens-place-plce-q1-2023-earnings-call-transcr/,2023-05-24
EXPR,Express,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/express-expr-q1-2023-earnings-call-transcript/,2023-05-24
SPLK,Splunk,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/splunk-splk-q1-2024-earnings-call-transcript/,2023-05-24
KSS,Kohl's,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/kohls-kss-q1-2023-earnings-call-transcript/,2023-05-24
XPEV,XPeng,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/xpeng-xpev-q1-2023-earnings-call-transcript/,2023-05-24
SNOW,Snowflake,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/snowflake-snow-q1-2024-earnings-call-transcript/,2023-05-24
NVDA,Nvidia,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/nvidia-nvda-q1-2024-earnings-call-transcript/,2023-05-24
PATH,UiPath,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/24/uipath-path-q1-2024-earnings-call-transcript/,2023-05-24
NEWR,New Relic,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/new-relic-newr-q4-2023-earnings-call-transcript/,2023-05-23
JMIA,Jumia Technologies Ag,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/jumia-technologies-ag-jmia-q1-2023-earnings-call-t/,2023-05-23
ZM,Zoom Video Communications,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/zoom-video-communications-zm-q1-2024-earnings-call/,2023-05-23
CTRN,Citi Trends,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/citi-trends-ctrn-q1-2023-earnings-call-transcript/,2023-05-23
PANW,Palo Alto Networks,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/palo-alto-networks-panw-q3-2023-earnings-call-tran/,2023-05-23
BJ,BJ's Wholesale Club,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/bjs-wholesale-club-bj-q1-2023-earnings-call-transc/,2023-05-23
INTU,Intuit,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/intuit-intu-q3-2023-earnings-call-transcript/,2023-05-23
WSM,Williams-Sonoma,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/williams-sonoma-wsm-q1-2023-earnings-call-transcri/,2023-05-23
LOW,Lowe's Companies,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/23/lowes-companies-low-q1-2023-earnings-call-transcri/,2023-05-23
NNOX,Nano-X Imaging,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/22/nano-x-imaging-nnox-q1-2023-earnings-call-transcri/,2023-05-22
GLBE,Global-e Online,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/22/global-e-online-glbe-q1-2023-earnings-call-transcr/,2023-05-22
YMM,Full Truck Alliance,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/22/full-truck-alliance-ymm-q1-2023-earnings-call-tran/,2023-05-22
DXC,DXC Technology,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/19/dxc-technology-dxc-q4-2023-earnings-call-transcrip/,2023-05-19
AMAT,Applied Materials,Q2,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/18/applied-materials-amat-q2-2023-earnings-call-trans/,2023-05-18
WMT,Walmart,Q1,2024,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/18/walmart-wmt-q1-2024-earnings-call-transcript/,2023-05-18
LSPD,Lightspeed Commerce,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/18/lightspeed-commerce-lspd-q4-2023-earnings-call-tra/,2023-05-18
BABA,Alibaba Group,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/18/alibaba-group-baba-q4-2023-earnings-call-transcrip/,2023-05-18
DT,Dynatrace,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/dynatrace-dt-q4-2023-earnings-call-transcript/,2023-05-17
TTWO,Take-Two Interactive Software,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/take-two-interactive-software-ttwo-q4-2023-earning/,2023-05-17
STNE,StoneCo,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/stoneco-stne-q1-2023-earnings-call-transcript/,2023-05-17
TCEHY,Tencent,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/tencent-tcehy-q1-2023-earnings-call-transcript/,2023-05-17
TGT,Target,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/target-tgt-q1-2023-earnings-call-transcript/,2023-05-17
WIX,Wix.com,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/wixcom-wix-q1-2023-earnings-call-transcript/,2023-05-17
CSCO,Cisco Systems,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/17/cisco-systems-csco-q3-2023-earnings-call-transcrip/,2023-05-17
HUYA,HUYA,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/huya-huya-q1-2023-earnings-call-transcript/,2023-05-16
SSYS,Stratasys,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/stratasys-ssys-q1-2023-earnings-call-transcript/,2023-05-16
SE,Sea Limited,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/sea-limited-se-q1-2023-earnings-call-transcript/,2023-05-16
VOXX,VOXX International Corporation,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/voxx-international-corporation-voxx-q4-2023-earnin/,2023-05-16
YSG,Yatsen,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/yatsen-ysg-q1-2023-earnings-call-transcript/,2023-05-16
HD,Home Depot,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/home-depot-hd-q1-2023-earnings-call-transcript/,2023-05-16
BIDU,Baidu,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/16/baidu-bidu-q1-2023-earnings-call-transcript/,2023-05-16
MNDY,Monday.com,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/15/mondaycom-mndy-q1-2023-earnings-call-transcript/,2023-05-15
CRMD,CorMedix,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/15/cormedix-crmd-q1-2023-earnings-call-transcript/,2023-05-15
YETI,Yeti,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/yeti-yeti-q1-2023-earnings-call-transcript/,2023-05-11
ORGO,Organogenesis,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/organogenesis-orgo-q1-2023-earnings-call-transcrip/,2023-05-11
LAW,Cs Disco,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/cs-disco-law-q1-2023-earnings-call-transcript/,2023-05-11
SLQT,SelectQuote,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/selectquote-slqt-q3-2023-earnings-call-transcript/,2023-05-11
VUZI,Vuzix,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/vuzix-vuzi-q1-2023-earnings-call-transcript/,2023-05-11
FLWS,1-800-flowers.com,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/1-800-flowerscom-flws-q3-2023-earnings-call-transc/,2023-05-11
DV,DoubleVerify,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/doubleverify-dv-q1-2023-earnings-call-transcript/,2023-05-11
PAAS,Pan American Silver,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/pan-american-silver-paas-q1-2023-earnings-call-tra/,2023-05-11
CMPS,Compass Pathways Plc,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/compass-pathways-plc-cmps-q1-2023-earnings-call-tr/,2023-05-11
INO,Inovio Pharmaceuticals,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/inovio-pharmaceuticals-ino-q1-2023-earnings-call-t/,2023-05-11
GERN,Geron,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/geron-gern-q1-2023-earnings-call-transcript/,2023-05-11
DNUT,Krispy Kreme,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/krispy-kreme-dnut-q1-2023-earnings-call-transcript/,2023-05-11
JD,JD.com,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/jdcom-jd-q1-2023-earnings-call-transcript/,2023-05-11
AQN,Algonquin Power & Utilities,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/algonquin-power-utilities-aqn-q1-2023-earnings-cal/,2023-05-11
BYND,Beyond Meat,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/beyond-meat-bynd-q1-2023-earnings-call-transcript/,2023-05-11
SONO,Sonos,Q2,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/sonos-sono-q2-2023-earnings-call-transcript/,2023-05-11
PYCR,Paycor HCM,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/paycor-hcm-pycr-q3-2023-earnings-call-transcript/,2023-05-11
HMC,Honda Motor,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/honda-motor-hmc-q4-2023-earnings-call-transcript/,2023-05-11
ORCC,Owl Rock Capital,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/11/owl-rock-capital-orcc-q1-2023-earnings-call-transc/,2023-05-11
LDI,loanDepot,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/loandepot-ldi-q1-2023-earnings-call-transcript/,2023-05-10
CAMT,Camtek,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/camtek-camt-q1-2023-earnings-call-transcript/,2023-05-10
GO,Grocery Outlet,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/grocery-outlet-go-q1-2023-earnings-call-transcript/,2023-05-10
SRAD,Sportradar Group Ag,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/sportradar-group-ag-srad-q1-2023-earnings-call-tra/,2023-05-10
MODG,Topgolf Callaway Brands,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/topgolf-callaway-brands-modg-q1-2023-earnings-call/,2023-05-10
BNGO,Bionano Genomics,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/bionano-genomics-bngo-q1-2023-earnings-call-transc/,2023-05-10
BIRD,Allbirds,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/allbirds-bird-q1-2023-earnings-call-transcript/,2023-05-10
BLNK,Blink Charging,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/blink-charging-blnk-q1-2023-earnings-call-transcri/,2023-05-10
FLYW,Flywire,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/flywire-flyw-q1-2023-earnings-call-transcript/,2023-05-10
MGNX,MacroGenics,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/macrogenics-mgnx-q1-2023-earnings-call-transcript/,2023-05-10
EBS,Emergent BioSolutions,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/emergent-biosolutions-ebs-q1-2023-earnings-call-tr/,2023-05-10
GPRO,GoPro,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/gopro-gpro-q1-2023-earnings-call-transcript/,2023-05-10
TWNK,Hostess Brands,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/hostess-brands-twnk-q1-2023-earnings-call-transcri/,2023-05-10
TOST,Toast,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/toast-tost-q1-2023-earnings-call-transcript/,2023-05-10
PLUG,Plug Power,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/plug-power-plug-q1-2023-earnings-call-transcript/,2023-05-10
PUBM,PubMatic,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/pubmatic-pubm-q1-2023-earnings-call-transcript/,2023-05-10
DUOL,Duolingo,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/duolingo-duol-q1-2023-earnings-call-transcript/,2023-05-10
TEVA,Teva Pharmaceutical Industries,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/teva-pharmaceutical-industries-teva-q1-2023-earnin/,2023-05-10
MGNI,Magnite,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/magnite-mgni-q1-2023-earnings-call-transcript/,2023-05-10
OXY,Occidental Petroleum,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/occidental-petroleum-oxy-q1-2023-earnings-call-tra/,2023-05-10
AMPL,Amplitude,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/amplitude-ampl-q1-2023-earnings-call-transcript/,2023-05-10
NOTE,FiscalNote,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/fiscalnote-note-q1-2023-earnings-call-transcript/,2023-05-10
DIS,Walt Disney,Q2,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/walt-disney-dis-q2-2023-earnings-call-transcript/,2023-05-10
LI,Li Auto,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/li-auto-li-q1-2023-earnings-call-transcript/,2023-05-10
IEP,Icahn Enterprises,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/icahn-enterprises-iep-q1-2023-earnings-call-transc/,2023-05-10
COHR,Coherent,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/coherent-cohr-q3-2023-earnings-call-transcript/,2023-05-10
EXEL,Exelixis,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/exelixis-exel-q1-2023-earnings-call-transcript/,2023-05-10
COOK,Traeger,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/traeger-cook-q1-2023-earnings-call-transcript/,2023-05-10
SDC,SmileDirectClub,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/smiledirectclub-sdc-q1-2023-earnings-call-transcri/,2023-05-10
GDRX,GoodRx,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/goodrx-gdrx-q1-2023-earnings-call-transcript/,2023-05-10
U,Unity Software,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/unity-software-u-q1-2023-earnings-call-transcript/,2023-05-10
HOOD,Robinhood Markets,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/robinhood-markets-hood-q1-2023-earnings-call-trans/,2023-05-10
TTD,The Trade Desk,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/the-trade-desk-ttd-q1-2023-earnings-call-transcrip/,2023-05-10
HL,Hecla Mining,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/hecla-mining-hl-q1-2023-earnings-call-transcript/,2023-05-10
WEN,Wendy's,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/wendys-wen-q1-2023-earnings-call-transcript/,2023-05-10
RBLX,Roblox,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/roblox-rblx-q1-2023-earnings-call-transcript/,2023-05-10
APP,AppLovin,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/10/applovin-app-q1-2023-earnings-call-transcript/,2023-05-10
COMP,Compass,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/compass-comp-q1-2023-earnings-call-transcript/,2023-05-09
MRVI,Maravai LifeSciences,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/maravai-lifesciences-mrvi-q1-2023-earnings-call-tr/,2023-05-09
PAY,Paymentus,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/paymentus-pay-q1-2023-earnings-call-transcript/,2023-05-09
TWLO,Twilio,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/twilio-twlo-q1-2023-earnings-call-transcript/,2023-05-09
XXII,22nd Century Group,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/22nd-century-group-xxii-q1-2023-earnings-call-tran/,2023-05-09
EXAS,Exact Sciences,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/exact-sciences-exas-q1-2023-earnings-call-transcri/,2023-05-09
AFRM,Affirm,Q3,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/affirm-afrm-q3-2023-earnings-call-transcript/,2023-05-09
RNG,RingCentral,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/ringcentral-rng-q1-2023-earnings-call-transcript/,2023-05-09
ABNB,Airbnb,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/airbnb-abnb-q1-2023-earnings-call-transcript/,2023-05-09
BROS,Dutch Bros,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/dutch-bros-bros-q1-2023-earnings-call-transcript/,2023-05-09
MNKD,MannKind,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/mannkind-mnkd-q1-2023-earnings-call-transcript/,2023-05-09
OLO,Olo,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/olo-olo-q1-2023-earnings-call-transcript/,2023-05-09
UPST,Upstart,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/upstart-upst-q1-2023-earnings-call-transcript/,2023-05-09
TASK,TaskUs,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/taskus-task-q1-2023-earnings-call-transcript/,2023-05-09
CPNG,Coupang,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/coupang-cpng-q1-2023-earnings-call-transcript/,2023-05-09
NKLA,Nikola,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/nikola-nkla-q1-2023-earnings-call-transcript/,2023-05-09
EA,Electronic Arts,Q4,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/electronic-arts-ea-q4-2023-earnings-call-transcrip/,2023-05-09
MQ,Marqeta,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/marqeta-mq-q1-2023-earnings-call-transcript/,2023-05-09
OTLY,Oatly Group Ab,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/oatly-group-ab-otly-q1-2023-earnings-call-transcri/,2023-05-09
WMG,Warner Music Group,Q2,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/warner-music-group-wmg-q2-2023-earnings-call-trans/,2023-05-09
IGT,International Game Technology Plc,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/international-game-technology-plc-igt-q1-2023-earn/,2023-05-09
CRON,Cronos Group,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/cronos-group-cron-q1-2023-earnings-call-transcript/,2023-05-09
DDD,3d Systems,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/3d-systems-ddd-q1-2023-earnings-call-transcript/,2023-05-09
APPN,Appian,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/appian-appn-q1-2023-earnings-call-transcript/,2023-05-09
NVTA,Invitae,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/invitae-nvta-q1-2023-earnings-call-transcript/,2023-05-09
AGEN,Agenus,Q1,2023,"March 31, 2023",https://www.fool.com/earnings/call-transcripts/2023/05/09/agenus-agen-q1-2023-earnings-call-transcript/,2023-05-09
